ids	species	titles	summaries	documents
GSE66814	Mus musculus	The interaction of PRC2 with RNA or chromatin is mutually antagonistic [RNA-Seq]	Polycomb repressive complex 2 (PRC2) maintains developmental regulator genes in a repressed state through methylation of histone H3 at lysine 27 (H3K27me3) and is necessary for cell differentiation. We and others have previously found that the PRC2 subunit Suz12 interacts with RNA in vitro and other studies have shown that Ezh2 and Jarid2 also possess RNA binding function. The interaction of PRC2 with RNA has been suggested to regulate PRC2 targeting or enzymatic activity, but the RNAs directly bound by PRC2 in cells, and the role of each PRC2 RNA binding subunit, remain unclear. We have used different CLIP techniques, which use UV-crosslinking to allow detection of direct Suz12-RNA interactions as they occur in living mouse ES cells. Suz12 binds nascent RNA and has a preference for interaction with the 3âUTR, showing it does have binding specificity in cells. RNAs bound by Suz12 at the 3âUTR encode developmental regulator genes.  Suz12 remains bound to RNA upon deletion of Ezh2 or Jarid2 showing that it binds RNA independently of other PRC2 subunits. We also show that binding of Suz12 to RNA or chromatin is mutually inhibitory. Although Ezh2 and Jarid2 also bind RNA, Ezh2 and Jarid2 deletion causes an increase in Suz12 RNA binding, without changing its specificity, which reflects the loss of Suz12 from chromatin. Similarly, disruption of Suz12-RNA interactions by RNA polymerase II inhibition or RNase treatment increases Suz12 binding to chromatin. These results therefore suggest that Suz12 acts as an RNA sensor, binding to the 3âUTR of nascent RNAs and modulating the interaction of PRC2 with chromatin.	The interaction of PRC2 with RNA or chromatin is mutually antagonistic [RNA-Seq]Polycomb repressive complex 2 (PRC2) maintains developmental regulator genes in a repressed state through methylation of histone H3 at lysine 27 (H3K27me3) and is necessary for cell differentiation. We and others have previously found that the PRC2 subunit Suz12 interacts with RNA in vitro and other studies have shown that Ezh2 and Jarid2 also possess RNA binding function. The interaction of PRC2 with RNA has been suggested to regulate PRC2 targeting or enzymatic activity, but the RNAs directly bound by PRC2 in cells, and the role of each PRC2 RNA binding subunit, remain unclear. We have used different CLIP techniques, which use UV-crosslinking to allow detection of direct Suz12-RNA interactions as they occur in living mouse ES cells. Suz12 binds nascent RNA and has a preference for interaction with the 3âUTR, showing it does have binding specificity in cells. RNAs bound by Suz12 at the 3âUTR encode developmental regulator genes.  Suz12 remains bound to RNA upon deletion of Ezh2 or Jarid2 showing that it binds RNA independently of other PRC2 subunits. We also show that binding of Suz12 to RNA or chromatin is mutually inhibitory. Although Ezh2 and Jarid2 also bind RNA, Ezh2 and Jarid2 deletion causes an increase in Suz12 RNA binding, without changing its specificity, which reflects the loss of Suz12 from chromatin. Similarly, disruption of Suz12-RNA interactions by RNA polymerase II inhibition or RNase treatment increases Suz12 binding to chromatin. These results therefore suggest that Suz12 acts as an RNA sensor, binding to the 3âUTR of nascent RNAs and modulating the interaction of PRC2 with chromatin.
GSE66817	Mus musculus	Diabetes Enhances the Proliferation of Adult Pancreatic Multipotent Progenitor Cells and Biases Their Differentiation to More Beta-Cell Production	Endogenous pancreatic multipotent progenitors (PMPs) are ideal candidates for regenerative approaches to compensate for b-cell loss since their b-cellâproducing capacities as well as strategic location would eliminate unnecessary invasive manipulations. However, little is known about the status and potentials of PMPs under diabetic conditions. Here we show that b-cell metabolic stress and hyperglycemia enhance the proliferation capacities of adult PMP cells and bias their production of progeny toward b-cells in mouse and human. These effects are dynamic and correlate with functional b-cell regeneration when conditions allow.	Diabetes Enhances the Proliferation of Adult Pancreatic Multipotent Progenitor Cells and Biases Their Differentiation to More Beta-Cell ProductionEndogenous pancreatic multipotent progenitors (PMPs) are ideal candidates for regenerative approaches to compensate for b-cell loss since their b-cellâproducing capacities as well as strategic location would eliminate unnecessary invasive manipulations. However, little is known about the status and potentials of PMPs under diabetic conditions. Here we show that b-cell metabolic stress and hyperglycemia enhance the proliferation capacities of adult PMP cells and bias their production of progeny toward b-cells in mouse and human. These effects are dynamic and correlate with functional b-cell regeneration when conditions allow.
GSE66822	Mus musculus	Prmt5 is a crucial regulator of muscle stem cell expansion in adult mice	Skeletal muscle stem cells (MuSC), also called satellite cells, are indispensable for maintenance and regeneration of adult skeletal muscles. Yet, a comprehensive picture of the regulatory events controlling the fate of MuSC is missing. Here, we determine the proteome of MuSC to design a loss-of-function screen, and identify 120 genes important for MuSC function including the arginine methyltransferase Prmt5. MuSC-specific inactivation of Prmt5 in adult mice prevents expansion of MuSC, abolishes long-term MuSC maintenance and abrogates skeletal muscle regeneration. Interestingly, Prmt5 is dispensable for proliferation and differentiation of Pax7(+) myogenic progenitor cells during mouse embryonic development, indicating significant differences between embryonic and adult myogenesis. Mechanistic studies reveal that Prmt5 controls proliferation of adult MuSC by direct epigenetic silencing of the cell cycle inhibitor p21. We reason that Prmt5 generates a poised state that keeps MuSC in a standby mode, thus allowing rapid MuSC amplification under disease conditions. 	Prmt5 is a crucial regulator of muscle stem cell expansion in adult miceSkeletal muscle stem cells (MuSC), also called satellite cells, are indispensable for maintenance and regeneration of adult skeletal muscles. Yet, a comprehensive picture of the regulatory events controlling the fate of MuSC is missing. Here, we determine the proteome of MuSC to design a loss-of-function screen, and identify 120 genes important for MuSC function including the arginine methyltransferase Prmt5. MuSC-specific inactivation of Prmt5 in adult mice prevents expansion of MuSC, abolishes long-term MuSC maintenance and abrogates skeletal muscle regeneration. Interestingly, Prmt5 is dispensable for proliferation and differentiation of Pax7(+) myogenic progenitor cells during mouse embryonic development, indicating significant differences between embryonic and adult myogenesis. Mechanistic studies reveal that Prmt5 controls proliferation of adult MuSC by direct epigenetic silencing of the cell cycle inhibitor p21. We reason that Prmt5 generates a poised state that keeps MuSC in a standby mode, thus allowing rapid MuSC amplification under disease conditions. 
GSE66828	Mus musculus	Amydala transcriptome changes in germ-free mice	We sequenced mRNA from 12 samples extracted from mouse amygdala tissue to generate the first amygdala-specific murine transcriptome for germ-free mice (GF), conventionally raised controls (CON) and germ-free mice that have been colonized with normal microbiota from postnatal day  21 (exGF).	Amydala transcriptome changes in germ-free miceWe sequenced mRNA from 12 samples extracted from mouse amygdala tissue to generate the first amygdala-specific murine transcriptome for germ-free mice (GF), conventionally raised controls (CON) and germ-free mice that have been colonized with normal microbiota from postnatal day  21 (exGF).
GSE66832	Mus musculus	TET proteins regulate lineage specification and TCR-mediated expansion of iNKT cells (RNA-Seq) 	TET proteins oxidize 5-methylcytosine to 5-hydroxymethylcytosine and further oxidation products in DNA. Here we report that simultaneous deletion of Tet2 and Tet3 in mouse double-positive thymocytes resulted in dysregulated development and proliferation of invariant natural killer T (iNKT) cells. Tet2-Tet3-double-deficient (DKO) iNKT cells displayed pronounced skewing towards the NKT17 lineage, with increased DNA methylation and impaired expression of genes encoding the key lineage-specifying factors T-bet and ThPOK. Transfer of purified Tet2-Tet3 DKO iNKT cells into immunocompetent recipient mice resulted in uncontrolled expansion dependent on the nonclassical MHC protein CD1d, which presents lipid antigens to iNKT cells. Our data indicate that TET proteins regulate iNKT cell fate by ensuring proper development and maturation and suppressing aberrant T cell antigen receptor (TCR)-mediated proliferation.	TET proteins regulate lineage specification and TCR-mediated expansion of iNKT cells (RNA-Seq) TET proteins oxidize 5-methylcytosine to 5-hydroxymethylcytosine and further oxidation products in DNA. Here we report that simultaneous deletion of Tet2 and Tet3 in mouse double-positive thymocytes resulted in dysregulated development and proliferation of invariant natural killer T (iNKT) cells. Tet2-Tet3-double-deficient (DKO) iNKT cells displayed pronounced skewing towards the NKT17 lineage, with increased DNA methylation and impaired expression of genes encoding the key lineage-specifying factors T-bet and ThPOK. Transfer of purified Tet2-Tet3 DKO iNKT cells into immunocompetent recipient mice resulted in uncontrolled expansion dependent on the nonclassical MHC protein CD1d, which presents lipid antigens to iNKT cells. Our data indicate that TET proteins regulate iNKT cell fate by ensuring proper development and maturation and suppressing aberrant T cell antigen receptor (TCR)-mediated proliferation.
GSE66859	Homo sapiens	MAGE-A1 Promotes Proliferation, Migration and Invasion of Human Melanoma Cells through RNA-SEQ Analysis via Affecting C-JUN-IL8-ARHGAP29 Network	To define the role of MAGE-A1 in melanoma growth and metastasis, we performed RNA-seq analysis on MAGE-A1 overexpression (OE) and knockdown (KD) models in A375 human melanoma cell line. Our results revealed that overexpression of MAGE-A1 dramatically promoted proliferation, migration, and invasion of human melanoma cells in vitro and down-regulated of MAGE-A1 inhibited tumor cell proliferation and invasion. Furthermore, MAGE-A1 exerts its tumor promoting activity via activating including ERK-MAPK signaling pathway by RNA-seq analysis.	MAGE-A1 Promotes Proliferation, Migration and Invasion of Human Melanoma Cells through RNA-SEQ Analysis via Affecting C-JUN-IL8-ARHGAP29 NetworkTo define the role of MAGE-A1 in melanoma growth and metastasis, we performed RNA-seq analysis on MAGE-A1 overexpression (OE) and knockdown (KD) models in A375 human melanoma cell line. Our results revealed that overexpression of MAGE-A1 dramatically promoted proliferation, migration, and invasion of human melanoma cells in vitro and down-regulated of MAGE-A1 inhibited tumor cell proliferation and invasion. Furthermore, MAGE-A1 exerts its tumor promoting activity via activating including ERK-MAPK signaling pathway by RNA-seq analysis.
GSE66870	Mus musculus	MeCP2 binds to mCH as neurons mature, influencing transcription and onset of Rett syndrome [mRNA-Seq]	The postnatal neurodevelopmental disorder Rett syndrome (RTT) is caused by mutations in the gene encoding Methyl-CpG-binding Protein 2 (MeCP2). Despite decades of research, it remains unclear how MeCP2 actually regulates transcription or why RTT features appear only 6-18 months after birth. We examined MeCP2 binding to methylated cytosine in the CH context (mCH, where H = A, C, or T) in the adult mouse brain and found that MeCP2 binds these mCH sites, influencing nucleosome positioning and transcription. Strikingly, this pattern is unique to the mature nervous system, as it requires the increase in mCH after birth to reveal differences in MeCP2 binding to mCG, mCH, and non-methylated DNA elements. This study provides insight into the molecular mechanism governing MeCP2 targeting and how this targeting might contribute to the delayed onset of RTT symptoms.	MeCP2 binds to mCH as neurons mature, influencing transcription and onset of Rett syndrome [mRNA-Seq]The postnatal neurodevelopmental disorder Rett syndrome (RTT) is caused by mutations in the gene encoding Methyl-CpG-binding Protein 2 (MeCP2). Despite decades of research, it remains unclear how MeCP2 actually regulates transcription or why RTT features appear only 6-18 months after birth. We examined MeCP2 binding to methylated cytosine in the CH context (mCH, where H = A, C, or T) in the adult mouse brain and found that MeCP2 binds these mCH sites, influencing nucleosome positioning and transcription. Strikingly, this pattern is unique to the mature nervous system, as it requires the increase in mCH after birth to reveal differences in MeCP2 binding to mCG, mCH, and non-methylated DNA elements. This study provides insight into the molecular mechanism governing MeCP2 targeting and how this targeting might contribute to the delayed onset of RTT symptoms.
GSE66873	Mus musculus	Sex hormones have pervasive effects on thymic epithelial cells	The goal of our study was to evaluate at the systems-level, the effect of sex hormones on thymic epithelial cells (TECs). To this end, we sequenced the transcriptome of cortical and medullary TECs (cTECs and mTECs) from three groups of 6 month-old mice: males, females and males castrated at four weeks of age. In parallel, we analyzed variations in the size of TEC subsets in those three groups between 1 and 12 months of age. We report that sex hormones have pervasive effects on the transcriptome of TECs: the number of differentially expressed genes was 1,440 in cTECs and 1,783 in mTECs. Sexual dimorphism was particularly conspicuous in cTECs. Male cTECs displayed low proliferation rates that correlated with low expression of Foxn1 and its main targets. Furthermore, male cTECs expressed relatively low levels of genes instrumental in thymocyte expansion (e.g., Dll4) and positive selection (Psmb11 and Ctsl). Nevertheless, cTECs were more abundant in males than females. Accumulation of cTECs in males correlated with differential expression of genes regulating cell survival and cell differentiation. Unexpectedly, we observed that female and male sex hormones repressed promiscuous gene expression in mTECs. Since sex hormones did not affect the expression of Aire per se, they must impinge on the activity of unidentified regulator(s) of promiscuous gene expression in mTECs. The sexual dimorphism of TECs highlighted here may be mechanistically linked to the well-recognized sex differences in susceptibility to infections and autoimmune diseases.	Sex hormones have pervasive effects on thymic epithelial cellsThe goal of our study was to evaluate at the systems-level, the effect of sex hormones on thymic epithelial cells (TECs). To this end, we sequenced the transcriptome of cortical and medullary TECs (cTECs and mTECs) from three groups of 6 month-old mice: males, females and males castrated at four weeks of age. In parallel, we analyzed variations in the size of TEC subsets in those three groups between 1 and 12 months of age. We report that sex hormones have pervasive effects on the transcriptome of TECs: the number of differentially expressed genes was 1,440 in cTECs and 1,783 in mTECs. Sexual dimorphism was particularly conspicuous in cTECs. Male cTECs displayed low proliferation rates that correlated with low expression of Foxn1 and its main targets. Furthermore, male cTECs expressed relatively low levels of genes instrumental in thymocyte expansion (e.g., Dll4) and positive selection (Psmb11 and Ctsl). Nevertheless, cTECs were more abundant in males than females. Accumulation of cTECs in males correlated with differential expression of genes regulating cell survival and cell differentiation. Unexpectedly, we observed that female and male sex hormones repressed promiscuous gene expression in mTECs. Since sex hormones did not affect the expression of Aire per se, they must impinge on the activity of unidentified regulator(s) of promiscuous gene expression in mTECs. The sexual dimorphism of TECs highlighted here may be mechanistically linked to the well-recognized sex differences in susceptibility to infections and autoimmune diseases.
GSE66876	Homo sapiens	Pancreatic cancer exosomes induce pre-metastatic niche formation in the liver	Pancreatic cancers (PCs) are highly metastatic with poor prognosis, mainly due to delayed detection. We hypothesized that intercellular communication is critical for metastatic progression. Here, we show that PC-derived exosomes induce liver pre-metastatic niche formation in naÃ¯ve mice and consequently increase liver metastatic burden. Uptake of PC-derived exosomes by Kupffer cells caused transforming growth factor Î² secretion and upregulation of fibronectin production by hepatic stellate cells. This fibrotic microenvironment enhanced recruitment of bone marrow-derived macrophages. We found that macrophage migration inhibitory factor (MIF) was highly expressed in PC-derived exosomes, and its blockade prevented liver pre-metastatic niche formation and metastasis. Compared to patients whose pancreatic tumors did not progress, MIF was markedly higher in exosomes from stage I PC patients who later developed liver metastasis. These findings suggest that exosomal MIF primes the liver for metastasis and may be a prognostic marker for the development of PC liver metastasis.	Pancreatic cancer exosomes induce pre-metastatic niche formation in the liverPancreatic cancers (PCs) are highly metastatic with poor prognosis, mainly due to delayed detection. We hypothesized that intercellular communication is critical for metastatic progression. Here, we show that PC-derived exosomes induce liver pre-metastatic niche formation in naÃ¯ve mice and consequently increase liver metastatic burden. Uptake of PC-derived exosomes by Kupffer cells caused transforming growth factor Î² secretion and upregulation of fibronectin production by hepatic stellate cells. This fibrotic microenvironment enhanced recruitment of bone marrow-derived macrophages. We found that macrophage migration inhibitory factor (MIF) was highly expressed in PC-derived exosomes, and its blockade prevented liver pre-metastatic niche formation and metastasis. Compared to patients whose pancreatic tumors did not progress, MIF was markedly higher in exosomes from stage I PC patients who later developed liver metastasis. These findings suggest that exosomal MIF primes the liver for metastasis and may be a prognostic marker for the development of PC liver metastasis.
GSE66879	Homo sapiens	RNA sequencing of SETD2 isogenic renal cell carcinoma cell lines	RNA sequencing of SETD2 isogenic renal cell carcinoma cell lines.	RNA sequencing of SETD2 isogenic renal cell carcinoma cell linesRNA sequencing of SETD2 isogenic renal cell carcinoma cell lines.
GSE66882	Mus musculus	The microRNA-212/132 cluster regulates B cell development and apoptosis by targeting SOX4	MicroRNAs have emerged as key regulators of B cell fate decisions and immune function. Deregulation of several microRNAs in B cells leads to the development of autoimmune disease and cancer in mice. We demonstrate that the microRNA-212/132 cluster (miR-212/132) is induced in B cells in response to B cell receptor signaling. Enforced expression of miR-132 results in a block in early B cell development at the pre-pro-B cell to pro-B cell transition and induces apoptosis in primary bone marrow B cells. Importantly, loss of miR-212/132 results in increased B cell output under non-homeostatic conditions. We find that miR-212/132 regulates B lymphopoiesis by targeting the transcription factor SOX4. Co-expression of SOX4 with miR-132 rescues the defect in B cell development from over-expression of miR-132 alone. In addition, we show that the expression of miR-132 in cells that are prone to spontaneous B cell cancers can have a protective effect on cancer development. We have thus uncovered a novel regulator of B cell lineage specification that may potential applications in B cell cancer therapy	The microRNA-212/132 cluster regulates B cell development and apoptosis by targeting SOX4MicroRNAs have emerged as key regulators of B cell fate decisions and immune function. Deregulation of several microRNAs in B cells leads to the development of autoimmune disease and cancer in mice. We demonstrate that the microRNA-212/132 cluster (miR-212/132) is induced in B cells in response to B cell receptor signaling. Enforced expression of miR-132 results in a block in early B cell development at the pre-pro-B cell to pro-B cell transition and induces apoptosis in primary bone marrow B cells. Importantly, loss of miR-212/132 results in increased B cell output under non-homeostatic conditions. We find that miR-212/132 regulates B lymphopoiesis by targeting the transcription factor SOX4. Co-expression of SOX4 with miR-132 rescues the defect in B cell development from over-expression of miR-132 alone. In addition, we show that the expression of miR-132 in cells that are prone to spontaneous B cell cancers can have a protective effect on cancer development. We have thus uncovered a novel regulator of B cell lineage specification that may potential applications in B cell cancer therapy
GSE66895	Homo sapiens	Disease-Associated SNPs From non-Coding Regions in Juvenile Idiopathic Arthritis Are Located Within or Adjacent to Functional Genomic Elements of Human Neutrophils and CD4+ T Cells [RNA-Seq]	We sequenced mRNA from 3 neutrophil cells taken from 3 male adult to generate the gene expression profile of human neutrophil cells	Disease-Associated SNPs From non-Coding Regions in Juvenile Idiopathic Arthritis Are Located Within or Adjacent to Functional Genomic Elements of Human Neutrophils and CD4+ T Cells [RNA-Seq]We sequenced mRNA from 3 neutrophil cells taken from 3 male adult to generate the gene expression profile of human neutrophil cells
GSE66917	Homo sapiens	Leucegene: AML sequencing (part 4)	RNA sequencing of human leukemia	Leucegene: AML sequencing (part 4)RNA sequencing of human leukemia
GSE66927	Homo sapiens	Ribo_seq (aka ribosome profiling) analysis of control and Myc-induced U2OS cells	We used Ribo-seq to examine the effect of Myc activation on protein translation in U2OS cells and correalted these changes with alterations in RNA level measured by RNA-seq on tye same conditions. We also examined these effects in the presence of Torin-1, an inhibitor of mTOR	Ribo_seq (aka ribosome profiling) analysis of control and Myc-induced U2OS cellsWe used Ribo-seq to examine the effect of Myc activation on protein translation in U2OS cells and correalted these changes with alterations in RNA level measured by RNA-seq on tye same conditions. We also examined these effects in the presence of Torin-1, an inhibitor of mTOR
GSE66928	Homo sapiens	GRO-seq analysis of control and Myc-induced U2OS cells	We used GRO-seq to examine the effect of Myc activation on RNA transcription in U2OS cells.	GRO-seq analysis of control and Myc-induced U2OS cellsWe used GRO-seq to examine the effect of Myc activation on RNA transcription in U2OS cells.
GSE66931	Mus musculus	Single cell RNA-Seq of Hira-KO and control MII oocytes [Gdf9-Cre+]	The integrity of chromatin, which provides a dynamic template for all DNA related processes in eukaryotes, is maintained through replication dependent and independent assembly pathways. To address the role of replication independent histone deposition, we deleted the histone H3.3 chaperone Hira in developing mouse oocytes. We show that chromatin of non-replicative developing oocytes is highly dynamic, and that lack of continuous H3.3/H4 deposition alters chromatin structure, resulting in increased DNase I sensitivity, the accumulation of DNA damage, and, ultimately, a severe fertility phenotype. On the molecular level, abnormal chromatin structure leads to a dramatic decrease in the dynamic range of gene expression, the appearance of spurious transcripts, and inefficient de novo DNA methylation. In contrast to the only minor transcriptional phenotype observed in mouse pluripotent cells, we unequivocally show the importance of histone replacement and chromatin homeostasis for transcriptional regulation and normal developmental progression in an in vivo context.	Single cell RNA-Seq of Hira-KO and control MII oocytes [Gdf9-Cre+]The integrity of chromatin, which provides a dynamic template for all DNA related processes in eukaryotes, is maintained through replication dependent and independent assembly pathways. To address the role of replication independent histone deposition, we deleted the histone H3.3 chaperone Hira in developing mouse oocytes. We show that chromatin of non-replicative developing oocytes is highly dynamic, and that lack of continuous H3.3/H4 deposition alters chromatin structure, resulting in increased DNase I sensitivity, the accumulation of DNA damage, and, ultimately, a severe fertility phenotype. On the molecular level, abnormal chromatin structure leads to a dramatic decrease in the dynamic range of gene expression, the appearance of spurious transcripts, and inefficient de novo DNA methylation. In contrast to the only minor transcriptional phenotype observed in mouse pluripotent cells, we unequivocally show the importance of histone replacement and chromatin homeostasis for transcriptional regulation and normal developmental progression in an in vivo context.
GSE66953	Mus musculus	Transcription of mammalian cis-regulatory elements is restrained by actively enforced early termination [RNA]	Upon recruitment to active enhancers and promoters, RNA polymerase II (Pol_II) generates short non-coding transcripts of unclear function. The mechanisms that control the length and the amount of ncRNAs generated by cis-regulatory elements are largely unknown. Here, we show that the adapter protein WDR82 and its associated complexes actively limit such non-coding transcription. WDR82 targets the SET1/COMPASS H3K4 methyltransferase and the nuclear Protein Phosphatase 1 (PP1) complexes to the initiating Pol_II. WDR82 and PP1 also interact with components of the transcriptional termination and RNA processing machineries. Depletion of WDR82, SET1 or the PP1 subunit required for its nuclear import caused distinct but overlapping transcription termination defects at highly expressed genes, active enhancers and promoters, thus enabling the increased synthesis of unusually long ncRNAs. These data indicate that transcription initiated from cis-regulatory elements is tightly coordinated with termination mechanisms that impose the synthesis of short RNAs.	Transcription of mammalian cis-regulatory elements is restrained by actively enforced early termination [RNA]Upon recruitment to active enhancers and promoters, RNA polymerase II (Pol_II) generates short non-coding transcripts of unclear function. The mechanisms that control the length and the amount of ncRNAs generated by cis-regulatory elements are largely unknown. Here, we show that the adapter protein WDR82 and its associated complexes actively limit such non-coding transcription. WDR82 targets the SET1/COMPASS H3K4 methyltransferase and the nuclear Protein Phosphatase 1 (PP1) complexes to the initiating Pol_II. WDR82 and PP1 also interact with components of the transcriptional termination and RNA processing machineries. Depletion of WDR82, SET1 or the PP1 subunit required for its nuclear import caused distinct but overlapping transcription termination defects at highly expressed genes, active enhancers and promoters, thus enabling the increased synthesis of unusually long ncRNAs. These data indicate that transcription initiated from cis-regulatory elements is tightly coordinated with termination mechanisms that impose the synthesis of short RNAs.
GSE66954	Mus musculus	Tracing the formation of hematopoietic stem cells in mouse embryos by single-cell functional and RNA-Seq analyses [10-cell]	Hematopoietic stem cells (HSCs) in adult are specified early from the endothelium-derived precursors (e.g., hemogenic endothelium, and pre-HSCs) in mouse mid-gestation embryos, the detailed process, however, is still largely unknown due to their rareness, transience, and current inability to prospectively isolate them efficiently . Here we developed a potent set of surface markers that could capture the earliest emerging HSCs, the CD45- pre-HSCs with high accuracy and purity, as rigorously and functionally verified by single-cell-initiated serial transplantation assays. Then we applied single-cell RNA-Seq technique to analyze five populations related to HSC formation: the CD45- (type 1) and CD45+ (type 2) pre-HSCs as well as endothelial cells in the E11 AGM region; and later mature HSCs in the E12 and E14 fetal livers. Compared to other cell populations, both type 1 and type 2 pre-HSCs have their unique signatures of transcription machinery, transcription factor network, signaling pathway, cell cycle status, metabolism state, and lncRNA expression patterns. Our work paves the way for dissection of the complex molecular mechanisms regulating the step-wise formation of HSCs from endothelial cells, thus informing future efforts on engineering HSCs for clinical application.	Tracing the formation of hematopoietic stem cells in mouse embryos by single-cell functional and RNA-Seq analyses [10-cell]Hematopoietic stem cells (HSCs) in adult are specified early from the endothelium-derived precursors (e.g., hemogenic endothelium, and pre-HSCs) in mouse mid-gestation embryos, the detailed process, however, is still largely unknown due to their rareness, transience, and current inability to prospectively isolate them efficiently . Here we developed a potent set of surface markers that could capture the earliest emerging HSCs, the CD45- pre-HSCs with high accuracy and purity, as rigorously and functionally verified by single-cell-initiated serial transplantation assays. Then we applied single-cell RNA-Seq technique to analyze five populations related to HSC formation: the CD45- (type 1) and CD45+ (type 2) pre-HSCs as well as endothelial cells in the E11 AGM region; and later mature HSCs in the E12 and E14 fetal livers. Compared to other cell populations, both type 1 and type 2 pre-HSCs have their unique signatures of transcription machinery, transcription factor network, signaling pathway, cell cycle status, metabolism state, and lncRNA expression patterns. Our work paves the way for dissection of the complex molecular mechanisms regulating the step-wise formation of HSCs from endothelial cells, thus informing future efforts on engineering HSCs for clinical application.
GSE66961	Mus musculus	Identification of in vivo DNA-binding mechanisms of Pax6 and reconstruction of Pax6-dependent gene regulatory networks during lens and forebrain development	The transcription factor Pax6 is comprised of the paired domain (PD) and homeodomain (HD). In the developing forebrain, Pax6 is expressed in ventricular zone precursor cells and in specific subpopulations of neurons; absence of Pax6 results in disrupted cell proliferation and cell fate specification. Pax6 also regulates the entire lens developmental program. To reconstruct Pax6-dependent gene regulatory networks (GRNs), ChIP-seq studies were performed using lens and forebrain chromatin from mice. A total of 3,723 (forebrain) and 3,514 (lens) Pax6-containing peaks were identified, with ~70% of them found in both tissues and thereafter called âcommonâ peaks. Analysis of Pax6-bound peaks identified motifs that closely resemble Pax6-PD, -PD/HD and -HD established binding sequences. Mapping of H3K4me1, H3K4me3, H3K27ac, H3K27me3 and RNA polymerase II revealed distinct types of tissue-specific enhancers bound by Pax6. Pax6 directly regulates cortical neurogenesis through activation (e.g. Dmrta1 and Ngn2) and repression (e.g. Ascl1, Fezf2, and Gsx2) of transcription factors. In lens, Pax6 directly regulates cell cycle exit control via components of FGF (Fgfr2, Ccnd1, and Prox1) and Wnt (Dkk3, Wnt7a, Lrp6, Bcl9l, and Ccnd1) signaling pathways. Collectively, these studies provide genome-wide analysis of Pax6-dependent GRNs in lens and forebrain and establish novel roles of Pax6 in organogenesis.	Identification of in vivo DNA-binding mechanisms of Pax6 and reconstruction of Pax6-dependent gene regulatory networks during lens and forebrain developmentThe transcription factor Pax6 is comprised of the paired domain (PD) and homeodomain (HD). In the developing forebrain, Pax6 is expressed in ventricular zone precursor cells and in specific subpopulations of neurons; absence of Pax6 results in disrupted cell proliferation and cell fate specification. Pax6 also regulates the entire lens developmental program. To reconstruct Pax6-dependent gene regulatory networks (GRNs), ChIP-seq studies were performed using lens and forebrain chromatin from mice. A total of 3,723 (forebrain) and 3,514 (lens) Pax6-containing peaks were identified, with ~70% of them found in both tissues and thereafter called âcommonâ peaks. Analysis of Pax6-bound peaks identified motifs that closely resemble Pax6-PD, -PD/HD and -HD established binding sequences. Mapping of H3K4me1, H3K4me3, H3K27ac, H3K27me3 and RNA polymerase II revealed distinct types of tissue-specific enhancers bound by Pax6. Pax6 directly regulates cortical neurogenesis through activation (e.g. Dmrta1 and Ngn2) and repression (e.g. Ascl1, Fezf2, and Gsx2) of transcription factors. In lens, Pax6 directly regulates cell cycle exit control via components of FGF (Fgfr2, Ccnd1, and Prox1) and Wnt (Dkk3, Wnt7a, Lrp6, Bcl9l, and Ccnd1) signaling pathways. Collectively, these studies provide genome-wide analysis of Pax6-dependent GRNs in lens and forebrain and establish novel roles of Pax6 in organogenesis.
GSE66962	Homo sapiens	Effect of OVO-like 1 knockdown on global transcript expression in differentiated BeWo trophoblast cells	We had previously discovered that the transcription factor OVO-like 1 (OVOL1) was highly induced during trophoblast differentiation. In this study, we used an lentiviral shRNA strategy to decrease OVOL1 expression in BeWo trophoblast cells. Control cells were transduced with shRNAs targeting no known mammalian transcript (shCont). Following stimulation of differentiation (48h exposure to 8-bromo-cyclic adenosine monophosphate), a RNA-seq approach was used to determine global transcript differences in OVOL1-knockdown cells compared to control cells.	Effect of OVO-like 1 knockdown on global transcript expression in differentiated BeWo trophoblast cellsWe had previously discovered that the transcription factor OVO-like 1 (OVOL1) was highly induced during trophoblast differentiation. In this study, we used an lentiviral shRNA strategy to decrease OVOL1 expression in BeWo trophoblast cells. Control cells were transduced with shRNAs targeting no known mammalian transcript (shCont). Following stimulation of differentiation (48h exposure to 8-bromo-cyclic adenosine monophosphate), a RNA-seq approach was used to determine global transcript differences in OVOL1-knockdown cells compared to control cells.
GSE66965	Mus musculus	Next Generation Sequencing Analysis of Wild Type and SRSF10-/- embryonic day 13.5 heart Transcriptomes	We generated the SRSF10 -/- mice, and collected their embryonic heart at 13.5 and controls. Then, we extracted RNAs of embryonic heart and performed next generation sequencing. By comparing sequcing data from WT and SRSF10 -/- samples, we profiled the alternative splicing events and gene expression regulated by SRSF10 during mouse heart development process.	Next Generation Sequencing Analysis of Wild Type and SRSF10-/- embryonic day 13.5 heart TranscriptomesWe generated the SRSF10 -/- mice, and collected their embryonic heart at 13.5 and controls. Then, we extracted RNAs of embryonic heart and performed next generation sequencing. By comparing sequcing data from WT and SRSF10 -/- samples, we profiled the alternative splicing events and gene expression regulated by SRSF10 during mouse heart development process.
GSE66966	Mus musculus	Analysis of bone marrow derived mast cell transcriptomes in presence or absence of SialostatinL	Goal of this study was to compare transcriptional changes in stimulated mast cells in the absence or presence of sialostatinL	Analysis of bone marrow derived mast cell transcriptomes in presence or absence of SialostatinLGoal of this study was to compare transcriptional changes in stimulated mast cells in the absence or presence of sialostatinL
